Number of nodes 662 
   326 : -1.5469494e-01 -7.7849683e-01 
   327 : -2.0748951e-01 -7.8960199e-01 
   328 : -2.4308978e-01 -7.5628310e-01 
   329 : -1.7373525e-01 -8.2958687e-01 
   330 : -2.5239165e-01 -8.0183434e-01 
   331 :  1.5369913e-01  7.7821797e-01 
   332 :  2.0675889e-01  7.8698093e-01 
   333 :  2.4522694e-01  7.5344945e-01 
   334 :  1.7569636e-01  8.2703399e-01 
   335 :  2.5194579e-01  7.9951334e-01 
   336 : -6.4250282e-02  8.1727518e-01 
   337 : -3.9119752e-02  8.6493942e-01 
   338 :  1.2313588e-02  8.7007224e-01 
   339 : -8.4948190e-02  8.6325700e-01 
   340 :  4.3154235e-02  8.3396667e-01 
   341 :  5.9412454e-02  8.7879683e-01 
   342 : -4.8095108e-02 -8.2111072e-01 
   343 : -9.3764088e-02 -8.4854292e-01 
   344 : -4.9885386e-02 -8.7267145e-01 
   345 : -2.4309400e-01 -6.7677671e-01 
   346 :  2.4309184e-01  6.7679501e-01 
   347 : -1.6204208e-01  7.7052244e-01 
   348 : -1.4923419e-01  8.1989376e-01 
   349 : -3.0007543e-01  7.2480894e-01 
   350 : -2.8157680e-01  5.9538994e-01 
   351 : -3.2938788e-01  5.9355257e-01 
   352 : -1.8830395e-02  9.1034350e-01 
   353 :  2.6310571e-01 -7.8776071e-01 
   354 :  2.9566385e-01 -7.5145657e-01 
   355 :  2.2630406e-01 -8.1632901e-01 
   356 :  2.4273426e-01 -6.7474072e-01 
   357 :  1.6117546e-01 -8.7058939e-01 
   358 : -2.7113533e-01  7.7341069e-01 
   359 : -2.4814793e-01  8.2147556e-01 
   360 :  3.3537213e-01 -6.9573230e-01 
   361 : -9.0639927e-02 -8.9963486e-01 
   362 : -1.3968764e-01 -8.7741713e-01 
   363 : -3.9777996e-02 -9.2627297e-01 
   364 : -5.8082208e-03 -8.9316963e-01 
   365 :  3.7930769e-01 -6.7704571e-01 
   366 : -2.7965537e-01 -7.1965000e-01 
   367 : -3.2670891e-01 -7.0262875e-01 
   368 :  2.7995707e-01  7.1928971e-01 
   369 :  3.2666885e-01  7.0276124e-01 
   370 :  2.8273548e-01  5.3323542e-01 
   371 :  3.1863481e-01  4.9585247e-01 
   372 :  3.0966751e-01  4.4950590e-01 
   373 :  3.5198475e-01  4.6671796e-01 
   374 :  3.4544399e-01  4.2087758e-01 
   375 :  3.0516833e-01  4.0188270e-01 
   376 :  3.4018330e-01  3.7519887e-01 
   377 :  3.8910828e-01  4.3893996e-01 
   378 :  3.6260651e-01  5.1381927e-01 
